from_date,department,section,barcode,item_num,item_description,purshase_price,selling_price,quantity
19-Feb,2,56,2176510000000.0,32613,A- CAPSICUM YELLOW,16.0,18.95,447.462
19-Feb,2,56,6224010000000.0,377120,ZUCCHINI FOAM 1KG,13.25,18.95,6.0
19-Feb,2,52,6223000000000.0,337697,SHAHD FILLET CHICKEN 1KG  052,99.0,109.95,53.0
19-Feb,2,50,2110000000000.0,372201,RICH LUNCHEON CHICKEN PLAIN,80.0,95.95,6.858
19-Feb,2,54,2155420000000.0,300338,BOUSOUMAT SESAME,12.548,39.95,0.437
19-Feb,2,50,2110370000000.0,490146,OLIVETTA SPANISH PEPPER,106.465,149.95,0.327
19-Feb,2,56,2176270000000.0,32485,A-ADALIA LEMON,4.35,5.95,195.609
19-Feb,2,57,2000000000000.0,357130,ICE CREAM CHOCOLATE SAUCE,2.05,6.0,687.0
19-Feb,2,56,2176460000000.0,276220,PEANUT IN SHELL SALTED MED,29.0,32.95,162.461
19-Feb,2,54,2155060000000.0,336643,BROWN MED FINO X5,2.905,6.95,5.0
19-Feb,2,50,6224000000000.0,450905,DATES ALMOND 30 DATES MDF PAC,35.0,49.95,1.0
19-Feb,2,50,2110310000000.0,376713,OLIVETTA SLI NATU,49.665,69.95,0.649
19-Feb,2,51,2122500000000.0,447159,FARM-MOZZERLLA SHREDED,56.0,69.95,28.084
19-Feb,2,57,2000000000000.0,390416,TURKISH COFFEE,2.604,6.0,460.0
19-Feb,2,56,8888000000000.0,475886,SPROUTS CHARD 100GR,3.5,4.75,12.0
19-Feb,2,57,2000000000000.0,357692,PIZZA SLICE CHICKEN,8.6,17.0,17.0
19-Feb,2,50,2110920000000.0,419643,TILAPIA OIL AND LEMON/KG,50.75,68.75,7.389
19-Feb,2,50,2110990000000.0,47787,MOMBAR/KG,43.0,59.95,60.862
19-Feb,2,52,2133420000000.0,480021,IM BEEF FOUNDO,107.0,136.95,8.07
19-Feb,2,50,2110570000000.0,389633,ABA CHOCO. DRAGEES,105.23,159.95,0.05
19-Feb,2,51,2122030000000.0,81527,DOMTY SOFT BRAMILY,30.0,34.25,0.494
19-Feb,2,56,6223000000000.0,51425,ISIS DATE W.NUT 500GR,58.0,72.95,15.0
19-Feb,2,56,6222010000000.0,315997,ONION GOLDEN 4KG,21.0,20.0,9.0
19-Feb,2,55,2165550000000.0,87456,WHITE FOREST 8 PERSONS,69.568,109.95,8.0
19-Feb,2,56,2000000000000.0,391321,HERBS R.TH.M.L. MIX2,4.75,4.95,6.0
19-Feb,2,51,2122160000000.0,323521,ROMY BATAREKH WITH PEPPER,84.1,94.95,281.579
19-Feb,2,55,2165940000000.0,299522,CAKE POUND CHOCOLATE,16.339,29.95,5.0
19-Feb,2,50,2110000000000.0,318620,HALWANI PLAIN CHCKEN LNCHON,88.0,97.95,20.61
19-Feb,2,56,2176280000000.0,32490,ORANGE VALENCIA FOR JUICE,2.5,2.95,342.568
19-Feb,2,54,2155050000000.0,488281,N.PIZZA DOUGH,4.5,6.5,250.0
19-Feb,2,50,2110470000000.0,389668,SUMAC,89.963,119.95,5.233
19-Feb,2,52,2133410000000.0,426250,IM BEEF SHANK,105.0,139.95,48.202
19-Feb,2,56,2176270000000.0,32494,A- GRAPEFRUIT PINK,7.0,7.95,174.1
19-Feb,2,56,2176280000000.0,408653,A-ORANGE BALADY FOR JUICE,2.5,2.95,404.524
19-Feb,2,56,2176520000000.0,32606,A-EGGPLANT BIG SIZE,11.5,9.0,93.917
19-Feb,2,52,2133270000000.0,31901,BONES,0.01,5.95,52.304
19-Feb,2,56,6223000000000.0,423292,CARROT 500GR,4.25,5.45,1.0
19-Feb,2,52,6224000000000.0,477976,SABEEL WINGS 1KG,30.75,36.95,3.0
19-Feb,2,50,2111060000000.0,351210,LASAGNA/KG,71.0,102.95,0.674
19-Feb,2,53,2144280000000.0,51917,HERRING FILLET VAC,120.0,139.95,3.217
19-Feb,2,55,2165510000000.0,142754,PETIT CAKE 1,6.64,10.95,67.0
19-Feb,2,56,2000000000000.0,365349,ROSEMARY BALADY 100GR,6.15,6.75,17.0
19-Feb,2,56,2176150000000.0,398992,A- APPLE RED DARK,22.75,22.95,49.002
19-Feb,2,55,2165820000000.0,442961,RICE MILK TAGEN,6.35,14.95,13.0
19-Feb,2,50,2110580000000.0,483591,TOFFIE,32.862,49.95,12.401
19-Feb,2,50,2110910000000.0,214105,FRYING FISH/KG,4.0,7.0,1.054
19-Feb,2,56,2000000000000.0,430468,WATERCRESS 50GR,0.8,0.95,93.0
19-Feb,2,56,2176270000000.0,32483,A-LEMON BALADY,10.45,9.95,270.935
19-Feb,2,50,2110070000000.0,318882,LHEMY BEEF LUNCHEON MEAT PIECES,80.0,92.95,0.301
19-Feb,2,56,2176110000000.0,283461,A-APPLE GREEN IMPORT,27.5,29.95,79.797
19-Feb,2,51,2122190000000.0,487170,KATILO CHEESE BRAMILY-KG,36.0,43.95,10.697
19-Feb,2,51,2122010000000.0,301138,YELLOW ISTAMBOLY,30.0,34.95,10.772
19-Feb,2,52,2133300000000.0,426665,BAL BEEF ROAST,127.79,159.95,5.444
19-Feb,2,57,2000000000000.0,357131,ICE CREAM CARAMEL SAUCE,2.05,6.0,4.0
19-Feb,2,54,2155310000000.0,295184,DONUTS CHOCOLATE X2,4.001,9.0,5.0
19-Feb,2,55,2165780000000.0,44398,BASBOSA W. NUTS,32.099,74.95,30.328
19-Feb,2,52,6224000000000.0,477958,SABEEL CHICKEN 1000-1100,49.75,58.95,8.0
19-Feb,2,57,2000000000000.0,357765,MILK,2.3,6.0,1.0
19-Feb,2,50,6224000000000.0,450904,BAG 150 GM WITH CHOCOLATE,18.0,25.95,10.0
19-Feb,2,50,2111050000000.0,31042,MIXED VEGETABLES/KG,35.0,50.95,74.317
19-Feb,2,50,2110600000000.0,483593,CASHEW BBQ FLAVOR,319.046,484.95,1.194
19-Feb,2,56,2176670000000.0,311739,POTATO RED ROSETTA,8.9,9.95,143.529
19-Feb,2,52,6224000000000.0,477975,SABEEL LIVER&GIZZARD 500GR,26.25,30.95,26.0
19-Feb,2,56,6223000000000.0,32779,ISIS EGGPLANT 1KG,20.0,25.95,6.0
19-Feb,2,55,2165560000000.0,35491,BLACK FOREST 8 PERSONS,74.197,135.95,5.0
19-Feb,2,50,2110450000000.0,389620,ABA DELUXE MIX,171.02,259.95,0.07
19-Feb,2,56,2176520000000.0,32607,A-EGGPLANT WHITE,13.0,13.95,8.661
19-Feb,2,55,2165570000000.0,168768,CHOCOLATE&FRUITS CAKE 10PERS,97.448,159.95,15.0
19-Feb,2,50,2110580000000.0,389682,ABA SALTED PISTACHIOS,312.467,474.95,2.456
19-Feb,2,50,2110590000000.0,389691,ABA COFFEE,108.713,144.95,4.07
19-Feb,2,56,2176260000000.0,32492,A- MANDARIN CHINESE,5.0,5.95,91.551
19-Feb,2,57,2000000000000.0,357758,CAPPUCCINO REGULAR,8.5,21.0,2.0
19-Feb,2,50,2110500000000.0,389728,HELBA,18.713,24.95,5.39
19-Feb,2,50,2110990000000.0,30984,MEAT SAMBOUSSAK/KG,49.004,76.95,16.396
19-Feb,2,50,2110470000000.0,389666,GRIND CARNATION,239.963,319.95,1.11
19-Feb,2,56,2000000000000.0,289478,LOLOROSSA GREEN,4.5,4.95,14.0
19-Feb,2,54,2155070000000.0,291411,TOAST BROWN 500GR,4.982,12.95,6.0
19-Feb,2,50,2111070000000.0,31021,MEAT CUBES IN SAUCE,98.0,140.95,57.296
19-Feb,2,57,2000000000000.0,399181,CHOCOLATE MOUSSE/PIC,7.497,15.0,18.0
19-Feb,2,51,2122390000000.0,341121,CHEESA FLAVOR SMOKED,78.65,94.95,7.548
19-Feb,2,50,2110560000000.0,389617,ABA ROASTED MACADAMIA ( SALTED ),624.967,949.95,0.784
19-Feb,2,50,2111020000000.0,214078,BABA GHANOUG SALAD,4.523,6.95,82.0
19-Feb,2,57,2000000000000.0,442450,FRENSH FRIES SANDWICH,2.4,4.0,1347.0
19-Feb,2,51,2122020000000.0,323514,ISTAMBOLY CHEESE FRESH,29.0,34.95,2.405
19-Feb,2,56,2176460000000.0,32768,A-RAISIN BLACK,43.0,49.95,57.851
19-Feb,2,54,2000000000000.0,404419,PACKET BOUKSOMAT BLACK SEED LARGE,12.87,20.0,37.0
19-Feb,2,50,2110100000000.0,419688,LHEMY BASTERMA VACUUM,215.0,255.95,28.541
19-Feb,2,50,2111040000000.0,30731,PIZZA SALAMI HALF COOK,14.49,24.95,26.0
19-Feb,2,52,2133010000000.0,31779,CHICKEN LEGS/KG,42.0,46.95,18.554
19-Feb,2,56,2176520000000.0,32608,A-EGGPLANT BLACK,12.75,13.75,7.961
19-Feb,2,57,2000000000000.0,357671,MEAT BURGER SANDWICH,11.83,16.95,11.0
19-Feb,2,55,2165860000000.0,94160,PROFITEROLLE,7.854,14.95,34.0
19-Feb,2,56,2000000000000.0,32642,LEEK,3.75,3.95,67.0
19-Feb,2,51,2122020000000.0,323513,FETA CHEESE,29.0,36.95,36.255
19-Feb,2,51,2122360000000.0,432597,KASHCAVAL SMOKED COW CHEESE,259.25,324.95,0.964
19-Feb,2,53,2144530000000.0,319418,DEFR. SHRIMP 20-30,152.0,179.95,79.72
19-Feb,2,53,2144160000000.0,173305,MEDIUM LOCALGROUPER 2-4 K/PC,70.0,94.95,4.44
19-Feb,2,50,2110500000000.0,389731,WHITE BEANS,26.213,34.95,26.247
19-Feb,2,56,2000000000000.0,32593,CELERY FRENCH,4.95,5.75,139.0
19-Feb,2,51,2122160000000.0,323519,ROMY OLD CHEESE,72.0,80.0,247.17
19-Feb,2,52,2133410000000.0,426256,IM BEEF CUBES,91.0,94.95,114.37
19-Feb,2,56,2176520000000.0,32594,A- CUCUMBER,12.0,12.75,399.456
19-Feb,2,56,2000000000000.0,443766,LATOGA RED,5.25,6.95,20.0
19-Feb,2,56,2176520000000.0,32631,A-TOMATO BALADY,5.45,4.5,925.949
19-Feb,2,52,2133290000000.0,426175,BAL BEEF KNUCKLE,127.79,157.95,11.77
19-Feb,2,51,2122330000000.0,235621,RED PEPPERJACK JALAPENO,190.0,219.95,1.382
19-Feb,2,55,2165930000000.0,299514,MUFFINS ASSORTED X 6,10.952,25.0,144.768
19-Feb,2,52,2133290000000.0,426166,BAL BEEF ESCALOPE,127.79,157.95,13.143
19-Feb,2,51,2122200000000.0,487177,KATILO MORTA NATURAL-KG,46.5,54.95,8.146
19-Feb,2,51,2122390000000.0,341118,CHEESA FLAVOR OLIVE,78.65,85.95,8.385
19-Feb,2,50,2110480000000.0,389705,STONE CUMIN,74.963,99.95,11.55
19-Feb,2,54,2155250000000.0,112410,MARGACROISSANTX10,12.165,20.0,125.227
19-Feb,2,52,2133300000000.0,426177,BAL BEEF CUBES LOW FAT,117.15,157.95,9.634
19-Feb,2,52,2133110000000.0,380636,CHICKEN FILLET TANDOORY,99.0,109.95,0.373
19-Feb,2,53,2144150000000.0,33797,BASARIA,15.0,19.95,54.289
19-Feb,2,56,6222010000000.0,185425,CHILI RED 500GR,10.25,11.95,1.0
19-Feb,2,56,2176530000000.0,32609,A-ZUCCHINI,11.5,14.95,101.616
19-Feb,2,56,2000000000000.0,365347,MINT BALADY 100GR,2.85,3.45,78.0
19-Feb,2,50,2110480000000.0,483585,JILI COCA,32.862,49.95,3.281
19-Feb,2,50,2110340000000.0,376751,OLIVETTA MEXIC PEP,16.295,22.95,11.878
19-Feb,2,50,2111090000000.0,315879,HALF GRILLED CHICKEN,31.5,46.45,85.0
19-Feb,2,50,2110460000000.0,389661,GRIND GINGER,52.463,69.95,11.074
19-Feb,2,50,2111090000000.0,351204,CHICKEN LIVER/KG 050,65.4,91.75,18.508
19-Feb,2,50,2110510000000.0,397853,ABA KARAWIA,51.713,68.95,1.802
19-Feb,2,54,2155140000000.0,36869,BREAD CRAMBS KG,9.996,19.95,150.351
19-Feb,2,50,2110540000000.0,389585,ABA PEELED PISTACHIOS,407.862,619.95,1.447
19-Feb,2,50,2110130000000.0,384319,TURKEY LOBES SMOKED,163.0,184.95,32.887
19-Feb,2,56,2176620000000.0,32611,A-PUMPKIN,5.25,6.95,152.849
19-Feb,2,52,6224000000000.0,477966,SABEEL BREASTS 1KG,39.0,45.95,138.0
19-Feb,2,53,2144350000000.0,399050,SEAFOOD COCKTAIL DEFROSTED,42.0,50.0,171.881
19-Feb,2,56,2176260000000.0,32496,A- MANDARIN,6.75,7.45,172.97
19-Feb,2,52,2133290000000.0,426174,BAL BEEF CUBES,97.0,107.95,34.987
19-Feb,2,50,2110010000000.0,372205,RICH COOKED TURKEY,130.0,155.95,1.825
19-Feb,2,54,2155080000000.0,494257,N.LARGE FETEER,14.1,19.95,143.0
19-Feb,2,54,2000000000000.0,360340,PACKET BOUKSOMAT BROWN LARGE,13.514,20.0,41.0
19-Feb,2,50,2110050000000.0,372197,RICH BEEF LUNCHEON PLAIN,80.0,90.95,3.535
19-Feb,2,52,6223000000000.0,216142,KOKI CHICKEN 950-1000,48.5,57.95,4.0
19-Feb,2,52,6223000000000.0,335059,KOKI CHICKEN THIGH,29.0,30.0,106.0
19-Feb,2,56,6223000000000.0,42963,ISIS TOMATO FOAM 900GR,19.5,26.95,30.0
19-Feb,2,50,6224000000000.0,307857,DATES SOFT 700G FP EL TAHAN,25.0,31.95,9.0
19-Feb,2,50,2110490000000.0,389724,ANISE SAMO,71.213,94.95,7.956
19-Feb,2,50,2110490000000.0,389722,NUTMEG STONE,356.213,474.95,2.995
19-Feb,2,50,2110130000000.0,384321,TURKEY ROSEMARY SMOKED,150.0,184.95,0.179
19-Feb,2,56,2176110000000.0,398651,A-APPLE ROYAL GALA,22.45,26.95,315.504
19-Feb,2,55,2165820000000.0,365582,JELLY PCS,3.066,8.0,33.0
19-Feb,2,51,2122310000000.0,447155,FARM-GOUDA BLACK PAPER,104.0,124.95,3.964
19-Feb,2,50,2110610000000.0,483079,RAW CASHEWS LARG 1 KG,269.704,409.95,7.099
19-Feb,2,51,2122080000000.0,327041,ISTAMBOLY CHEESE,46.0,45.95,44.787
19-Feb,2,51,2122190000000.0,487174,KATILO ROMY OLD CHEESE-KG,98.0,112.95,47.349
19-Feb,2,56,8888000000000.0,466175,CORIANDER 100 GR,2.45,2.95,26.0
19-Feb,2,50,2110450000000.0,483072,CORN CHILI FLAVOR,78.914,119.95,0.308
19-Feb,2,50,2110310000000.0,376724,OLIVETTA GREEN JUM,35.465,49.95,27.709
19-Feb,2,50,2110490000000.0,389725,HIBISCUS 050,52.463,69.95,2.07
19-Feb,2,51,2122190000000.0,487169,KATILO CHEESE LOW SALT-KG,38.5,44.95,19.788
19-Feb,2,52,2133050000000.0,31799,TURKEY FILLET,84.0,94.95,0.41
19-Feb,2,51,2122510000000.0,437275,DANABLU CHEESE,175.0,209.95,5.999
19-Feb,2,51,2122600000000.0,293077,BRIE CANTOREL,385.0,204.95,0.181
19-Feb,2,52,2133290000000.0,426167,BAL BEEF TOPSIDE,127.79,164.95,9.284
